payment_id,customer_id,amount,payment_method,payment_status,failure_reason,failed_attempts,previous_successful_payments,days_since_last_payment,checkout_abandoned,recovered,recovery_action,recovered_amount
P00349,C1217,2182.54,UPI,success,none,0,2,178,no,no,none,0.0
P00350,C1178,858.93,UPI,success,none,0,8,59,no,no,none,0.0
P00351,C1151,1702.88,UPI,success,none,0,3,69,no,no,none,0.0
P00352,C1159,840.05,Netbanking,success,none,0,6,162,no,no,none,0.0
P00353,C1222,935.76,UPI,success,none,0,4,167,no,no,none,0.0
P00354,C1042,515.43,UPI,failed,network_error,5,5,123,no,no,escalate,0.0
P00355,C1099,740.68,Card,success,none,0,6,74,no,no,none,0.0
P00356,C1007,537.13,Netbanking,success,none,0,1,7,no,no,none,0.0
P00357,C1144,712.01,UPI,success,none,0,5,101,no,no,none,0.0
P00358,C1090,3262.44,UPI,success,none,0,7,111,no,no,none,0.0
P00359,C1112,726.29,UPI,success,none,0,6,180,no,no,none,0.0
P00360,C1249,10660.35,UPI,failed,bank_decline,3,6,52,no,yes,retry,10660.35
P00361,C1244,2143.06,UPI,success,none,0,7,24,no,no,none,0.0
P00362,C1060,1700.41,Card,failed,technical_timeout,4,4,26,no,yes,retry,1700.41
P00363,C1113,777.62,Card,success,none,0,3,125,no,no,none,0.0
P00364,C1002,2502.97,Card,failed,bank_decline,2,8,90,no,yes,retry,2502.97
P00365,C1129,961.29,UPI,failed,insufficient_funds,4,4,122,no,no,escalate,0.0
P00366,C1048,1622.15,Netbanking,success,none,0,5,10,no,no,none,0.0
P00367,C1140,10097.7,UPI,failed,technical_timeout,3,5,17,yes,no,stop,0.0
P00368,C1197,1377.4,Wallet,success,none,0,3,2,no,no,none,0.0
P00369,C1037,3505.03,Card,success,none,0,9,112,no,no,none,0.0
P00370,C1160,873.6,UPI,failed,insufficient_funds,3,8,27,no,no,stop,0.0
P00371,C1247,1441.96,Card,success,none,0,6,71,no,no,none,0.0
P00372,C1009,5586.46,UPI,success,none,0,3,176,no,no,none,0.0
P00373,C1233,924.98,Card,success,none,0,5,118,no,no,none,0.0
P00374,C1099,5763.71,UPI,failed,bank_decline,3,5,9,yes,yes,reminder,5763.71
P00375,C1147,2516.98,UPI,failed,bank_decline,1,5,86,no,no,stop,0.0
P00376,C1048,970.83,Netbanking,failed,insufficient_funds,2,3,23,no,yes,reminder,970.83
P00377,C1208,2378.69,UPI,failed,authentication_failed,4,7,73,yes,yes,retry,2378.69
P00378,C1131,3069.95,Netbanking,failed,network_error,4,3,27,yes,yes,retry,3069.95
P00379,C1148,2359.86,UPI,success,none,0,0,93,no,no,none,0.0
P00380,C1152,455.93,Card,success,none,0,6,81,no,no,none,0.0
P00381,C1054,858.04,Card,success,none,0,6,84,no,no,none,0.0
P00382,C1120,1229.5,UPI,success,none,0,4,43,no,no,none,0.0
P00383,C1161,1399.93,UPI,failed,bank_decline,5,5,7,yes,yes,retry,1399.93
P00384,C1152,2357.85,UPI,failed,insufficient_funds,3,9,92,no,yes,retry,2357.85
P00385,C1116,1691.34,UPI,failed,bank_decline,3,5,83,no,no,stop,0.0
P00386,C1075,543.75,UPI,failed,bank_decline,3,4,84,no,no,stop,0.0
P00387,C1113,1968.74,Card,success,none,0,3,44,no,no,none,0.0
P00388,C1200,2340.08,Netbanking,success,none,0,6,167,no,no,none,0.0
P00389,C1164,2252.61,Netbanking,failed,technical_timeout,4,2,40,no,no,escalate,0.0
P00390,C1166,3329.53,Card,failed,technical_timeout,5,6,135,no,no,escalate,0.0
P00391,C1104,2766.79,Card,success,none,0,6,25,no,no,none,0.0
P00392,C1084,2088.88,Card,success,none,0,6,59,no,no,none,0.0
P00393,C1227,1404.41,UPI,failed,bank_decline,1,5,141,yes,yes,retry,1404.41
P00394,C1112,425.93,Netbanking,success,none,0,3,103,no,no,none,0.0
P00395,C1217,2043.08,Card,success,none,0,4,86,no,no,none,0.0
P00396,C1099,1729.81,Card,failed,bank_decline,2,4,112,no,no,stop,0.0
P00397,C1153,1814.72,UPI,failed,bank_decline,1,5,86,yes,yes,retry,1814.72
P00398,C1093,568.18,UPI,success,none,0,4,98,no,no,none,0.0
P00399,C1146,658.0,UPI,success,none,0,4,62,no,no,none,0.0
P00400,C1128,3261.25,Netbanking,success,none,0,5,8,no,no,none,0.0
P00401,C1110,1437.03,Card,failed,authentication_failed,4,5,113,yes,no,escalate,0.0
P00402,C1082,2467.91,UPI,success,none,0,5,173,no,no,none,0.0
P00403,C1194,1512.08,Wallet,success,none,0,7,146,no,no,none,0.0
P00404,C1054,1513.71,UPI,success,none,0,3,60,no,no,none,0.0
P00405,C1163,2992.05,UPI,failed,network_error,3,2,60,yes,yes,retry,2992.05
P00406,C1208,1005.22,UPI,success,none,0,4,106,no,no,none,0.0
P00407,C1189,1590.96,Card,success,none,0,4,2,no,no,none,0.0
P00408,C1169,1046.59,Netbanking,success,none,0,6,91,no,no,none,0.0
P00409,C1228,1068.62,UPI,success,none,0,3,14,no,no,none,0.0
P00410,C1161,1173.94,Netbanking,success,none,0,5,48,no,no,none,0.0
P00411,C1068,1748.65,UPI,success,none,0,5,103,no,no,none,0.0
P00412,C1033,1033.74,Netbanking,success,none,0,5,56,no,no,none,0.0
P00413,C1142,3796.43,Card,failed,bank_decline,2,5,12,no,yes,retry,3796.43
P00414,C1021,756.76,Card,success,none,0,3,55,no,no,none,0.0
P00415,C1048,1286.71,UPI,failed,bank_decline,4,10,156,yes,no,escalate,0.0
P00416,C1148,1064.44,Wallet,success,none,0,5,110,no,no,none,0.0
P00417,C1248,4381.88,Card,failed,network_error,4,4,4,yes,no,escalate,0.0
P00418,C1128,1715.42,UPI,failed,network_error,4,4,36,yes,no,escalate,0.0
P00419,C1136,3209.54,Netbanking,failed,insufficient_funds,2,7,178,yes,yes,retry,3209.54
P00420,C1135,485.82,UPI,failed,bank_decline,2,3,131,no,yes,retry,485.82
P00421,C1195,1808.56,Netbanking,success,none,0,6,1,no,no,none,0.0
P00422,C1145,2884.84,UPI,success,none,0,2,17,no,no,none,0.0
P00423,C1128,1574.53,Card,success,none,0,4,62,no,no,none,0.0
P00424,C1033,3291.54,Card,failed,bank_decline,5,4,48,no,no,escalate,0.0
P00425,C1176,1004.29,UPI,failed,technical_timeout,5,4,62,no,no,escalate,0.0
P00426,C1204,4259.94,UPI,failed,insufficient_funds,1,8,69,yes,no,stop,0.0
P00427,C1187,8301.35,UPI,failed,bank_decline,2,5,147,yes,yes,retry,8301.35
P00428,C1115,1127.63,UPI,success,none,0,8,103,no,no,none,0.0
P00429,C1214,1059.84,UPI,failed,technical_timeout,2,5,110,no,yes,retry,1059.84
P00430,C1119,4402.99,Card,failed,bank_decline,2,7,162,yes,yes,reminder,4402.99
P00431,C1022,4840.04,UPI,failed,authentication_failed,5,8,177,no,no,escalate,0.0
P00432,C1238,1000.1,UPI,failed,insufficient_funds,4,3,175,yes,no,escalate,0.0
P00433,C1158,1080.16,Card,success,none,0,4,91,no,no,none,0.0
P00434,C1038,1198.3,UPI,success,none,0,6,114,no,no,none,0.0
P00435,C1230,540.05,Netbanking,failed,bank_decline,3,4,178,no,no,stop,0.0
P00436,C1109,743.23,Netbanking,failed,technical_timeout,5,4,89,yes,yes,reminder,743.23
P00437,C1051,697.08,Card,success,none,0,6,154,no,no,none,0.0
P00438,C1182,832.27,Card,failed,insufficient_funds,2,2,56,no,no,stop,0.0
P00439,C1008,1442.29,Netbanking,failed,network_error,5,4,78,no,no,escalate,0.0
P00440,C1027,1764.57,UPI,success,none,0,2,14,no,no,none,0.0
P00441,C1027,4735.66,UPI,success,none,0,8,25,no,no,none,0.0
P00442,C1226,700.11,UPI,success,none,0,7,132,no,no,none,0.0
P00443,C1021,3097.16,Card,success,none,0,2,32,no,no,none,0.0
P00444,C1030,1260.81,UPI,success,none,0,5,82,no,no,none,0.0
P00445,C1097,1426.39,Card,success,none,0,6,78,no,no,none,0.0
P00446,C1028,2455.57,Wallet,success,none,0,7,106,no,no,none,0.0
P00447,C1111,637.76,Netbanking,success,none,0,7,20,no,no,none,0.0
P00448,C1192,1972.01,Card,failed,technical_timeout,1,7,74,no,no,stop,0.0
P00449,C1225,1677.13,UPI,success,none,0,6,10,no,no,none,0.0
P00450,C1197,2141.66,Netbanking,success,none,0,5,123,no,no,none,0.0
P00451,C1061,1838.81,Card,success,none,0,5,34,no,no,none,0.0
P00452,C1048,9334.52,UPI,success,none,0,8,155,no,no,none,0.0
P00453,C1147,917.54,UPI,success,none,0,7,40,no,no,none,0.0
P00454,C1004,994.01,Netbanking,failed,bank_decline,2,4,127,yes,no,stop,0.0
P00455,C1035,927.64,Card,success,none,0,5,33,no,no,none,0.0
P00456,C1192,975.93,Netbanking,failed,technical_timeout,1,8,71,no,yes,retry,975.93
P00457,C1049,917.78,Netbanking,failed,bank_decline,2,5,137,no,yes,retry,917.78
P00458,C1017,3611.08,Card,failed,network_error,5,2,144,yes,no,escalate,0.0
P00459,C1172,4295.74,UPI,success,none,0,3,133,no,no,none,0.0
P00460,C1220,964.82,UPI,failed,insufficient_funds,4,7,98,yes,no,escalate,0.0
P00461,C1158,792.93,UPI,success,none,0,3,124,no,no,none,0.0
P00462,C1221,2108.14,UPI,success,none,0,8,151,no,no,none,0.0
P00463,C1046,978.32,Card,failed,technical_timeout,3,1,43,no,yes,retry,978.32
P00464,C1117,2379.63,Card,success,none,0,5,114,no,no,none,0.0
P00465,C1006,1723.64,Netbanking,success,none,0,3,89,no,no,none,0.0
P00466,C1099,474.94,UPI,failed,bank_decline,1,5,179,yes,yes,retry,474.94
P00467,C1124,4725.03,Card,success,none,0,5,13,no,no,none,0.0
P00468,C1233,5692.52,Card,failed,insufficient_funds,5,2,128,no,yes,retry,5692.52
P00469,C1037,934.87,Card,success,none,0,7,152,no,no,none,0.0
P00470,C1024,1106.8,Card,success,none,0,2,139,no,no,none,0.0
P00471,C1093,1834.26,UPI,success,none,0,4,52,no,no,none,0.0
P00472,C1241,1902.34,UPI,success,none,0,5,17,no,no,none,0.0
P00473,C1046,2425.78,UPI,failed,authentication_failed,4,4,165,yes,yes,retry,2425.78
P00474,C1181,6685.21,UPI,failed,authentication_failed,5,4,13,no,no,escalate,0.0
P00475,C1095,1296.33,UPI,success,none,0,5,84,no,no,none,0.0
P00476,C1099,813.44,Card,success,none,0,4,97,no,no,none,0.0
P00477,C1188,526.11,Wallet,success,none,0,4,106,no,no,none,0.0
P00478,C1225,855.6,Card,success,none,0,5,96,no,no,none,0.0
P00479,C1116,1443.97,Card,success,none,0,7,8,no,no,none,0.0
P00480,C1191,5686.89,UPI,success,none,0,6,56,no,no,none,0.0
P00481,C1213,1004.04,Card,failed,bank_decline,1,6,104,yes,yes,retry,1004.04
P00482,C1160,1750.82,UPI,success,none,0,8,83,no,no,none,0.0
P00483,C1215,1462.18,UPI,success,none,0,5,44,no,no,none,0.0
P00484,C1161,3609.39,UPI,failed,bank_decline,3,2,103,no,no,stop,0.0
P00485,C1067,9849.73,UPI,success,none,0,4,112,no,no,none,0.0
P00486,C1128,994.11,UPI,success,none,0,6,169,no,no,none,0.0
P00487,C1018,1025.48,UPI,success,none,0,3,149,no,no,none,0.0
P00488,C1025,3239.33,UPI,failed,authentication_failed,5,3,42,yes,no,escalate,0.0
P00489,C1234,2468.63,Wallet,success,none,0,5,157,no,no,none,0.0
P00490,C1223,5913.72,UPI,success,none,0,5,145,no,no,none,0.0
P00491,C1054,2293.76,UPI,success,none,0,6,30,no,no,none,0.0
P00492,C1058,1130.63,UPI,failed,network_error,2,2,26,yes,yes,retry,1130.63
P00493,C1067,2305.36,Card,failed,bank_decline,4,6,125,yes,no,escalate,0.0
P00494,C1104,3399.99,UPI,success,none,0,4,19,no,no,none,0.0
P00495,C1174,2739.04,UPI,success,none,0,3,53,no,no,none,0.0
P00496,C1024,2165.61,UPI,success,none,0,4,85,no,no,none,0.0
P00497,C1114,3294.49,UPI,success,none,0,2,17,no,no,none,0.0
P00498,C1032,3558.06,UPI,failed,insufficient_funds,5,6,174,no,no,escalate,0.0
P00499,C1175,4173.95,UPI,success,none,0,8,104,no,no,none,0.0
P00500,C1086,2407.95,UPI,failed,insufficient_funds,4,5,105,yes,no,escalate,0.0
P00501,C1151,1305.92,UPI,failed,network_error,2,6,104,no,yes,payment_link,1305.92
P00502,C1194,1652.48,UPI,success,none,0,5,173,no,no,none,0.0
P00503,C1127,3658.77,Card,success,none,0,5,177,no,no,none,0.0
P00504,C1155,802.15,Card,success,none,0,6,147,no,no,none,0.0
P00505,C1234,1951.8,UPI,success,none,0,4,124,no,no,none,0.0
P00506,C1130,1102.13,UPI,failed,bank_decline,3,4,81,yes,no,stop,0.0
P00507,C1218,1512.56,Netbanking,failed,bank_decline,3,5,37,yes,no,stop,0.0
P00508,C1017,3861.61,UPI,failed,authentication_failed,2,5,121,no,yes,reminder,3861.61
P00509,C1104,1708.42,UPI,failed,bank_decline,4,4,70,no,no,escalate,0.0
P00510,C1161,1532.76,Card,failed,insufficient_funds,5,4,154,no,yes,payment_link,1532.76
P00511,C1137,533.85,UPI,failed,insufficient_funds,2,7,130,no,yes,reminder,533.85
P00512,C1043,2590.72,UPI,success,none,0,5,59,no,no,none,0.0
P00513,C1246,2402.13,UPI,success,none,0,4,118,no,no,none,0.0
P00514,C1176,7498.37,Netbanking,success,none,0,3,133,no,no,none,0.0
P00515,C1039,1175.17,UPI,success,none,0,9,37,no,no,none,0.0
P00516,C1221,1744.74,Card,failed,insufficient_funds,1,6,31,no,no,stop,0.0
P00517,C1170,1784.76,Wallet,failed,insufficient_funds,4,6,99,no,yes,reminder,1784.76
P00518,C1247,4832.36,UPI,success,none,0,4,94,no,no,none,0.0
P00519,C1026,1378.19,UPI,success,none,0,7,176,no,no,none,0.0
P00520,C1099,1824.87,UPI,failed,insufficient_funds,3,6,6,no,yes,retry,1824.87
P00521,C1050,2335.36,UPI,success,none,0,6,15,no,no,none,0.0
P00522,C1153,1702.68,UPI,success,none,0,2,143,no,no,none,0.0
P00523,C1152,1059.1,Netbanking,success,none,0,6,16,no,no,none,0.0
P00524,C1013,1712.26,Card,failed,bank_decline,2,4,20,no,yes,retry,1712.26
P00525,C1060,3311.72,Card,success,none,0,7,77,no,no,none,0.0
P00526,C1250,685.48,UPI,success,none,0,8,44,no,no,none,0.0
P00527,C1135,1635.54,Netbanking,success,none,0,6,170,no,no,none,0.0
P00528,C1057,875.6,Wallet,success,none,0,3,46,no,no,none,0.0
P00529,C1036,3627.45,Netbanking,success,none,0,4,95,no,no,none,0.0
P00530,C1173,472.3,UPI,success,none,0,5,162,no,no,none,0.0
P00531,C1020,973.41,Card,failed,technical_timeout,3,3,64,no,no,stop,0.0
P00532,C1065,1964.33,UPI,success,none,0,5,157,no,no,none,0.0
P00533,C1008,4789.32,UPI,success,none,0,8,131,no,no,none,0.0
P00534,C1238,1409.07,UPI,success,none,0,8,9,no,no,none,0.0
P00535,C1144,976.13,Card,failed,authentication_failed,4,5,153,no,no,escalate,0.0
P00536,C1142,6068.51,Card,failed,authentication_failed,3,5,42,no,no,stop,0.0
P00537,C1204,499.69,UPI,success,none,0,8,174,no,no,none,0.0
P00538,C1115,284.55,UPI,success,none,0,5,73,no,no,none,0.0
P00539,C1215,2059.07,UPI,success,none,0,4,84,no,no,none,0.0
P00540,C1143,1015.83,UPI,success,none,0,3,59,no,no,none,0.0
P00541,C1092,688.2,UPI,success,none,0,7,21,no,no,none,0.0
P00542,C1098,2518.12,UPI,success,none,0,4,150,no,no,none,0.0
P00543,C1066,1777.3,Card,success,none,0,4,157,no,no,none,0.0
P00544,C1032,969.66,UPI,success,none,0,5,63,no,no,none,0.0
P00545,C1215,566.67,UPI,success,none,0,3,73,no,no,none,0.0
P00546,C1191,2847.92,UPI,failed,bank_decline,2,5,61,yes,yes,reminder,2847.92
P00547,C1086,2410.65,Netbanking,success,none,0,4,64,no,no,none,0.0
P00548,C1051,1374.19,Card,success,none,0,6,69,no,no,none,0.0
P00549,C1153,5913.41,Card,failed,bank_decline,4,5,168,yes,yes,retry,5913.41
P00550,C1186,663.44,UPI,failed,bank_decline,1,5,129,no,yes,payment_link,663.44
P00551,C1063,471.47,Card,failed,insufficient_funds,2,2,106,yes,no,stop,0.0
P00552,C1190,881.01,UPI,failed,insufficient_funds,5,5,65,no,yes,retry,881.01
P00553,C1125,1430.54,Card,failed,technical_timeout,2,3,122,yes,yes,reminder,1430.54
P00554,C1150,1776.69,Netbanking,success,none,0,3,62,no,no,none,0.0
P00555,C1058,1235.3,Card,success,none,0,5,103,no,no,none,0.0
P00556,C1058,1927.62,Netbanking,success,none,0,4,60,no,no,none,0.0
P00557,C1086,579.02,Card,failed,bank_decline,4,3,46,no,no,escalate,0.0
P00558,C1049,4371.33,UPI,failed,bank_decline,2,4,5,yes,yes,payment_link,4371.33
P00559,C1180,1391.85,Netbanking,success,none,0,2,113,no,no,none,0.0
P00560,C1170,3421.97,UPI,success,none,0,6,150,no,no,none,0.0
P00561,C1070,1914.18,Card,success,none,0,7,70,no,no,none,0.0
P00562,C1015,2085.09,UPI,success,none,0,3,160,no,no,none,0.0
P00563,C1054,2269.52,UPI,success,none,0,5,11,no,no,none,0.0
P00564,C1235,2070.99,UPI,failed,insufficient_funds,1,4,138,no,yes,payment_link,2070.99
P00565,C1188,2397.17,UPI,success,none,0,6,167,no,no,none,0.0
P00566,C1101,4011.27,UPI,failed,technical_timeout,1,6,98,yes,yes,retry,4011.27
P00567,C1225,1715.38,Card,success,none,0,2,31,no,no,none,0.0
P00568,C1008,2519.34,UPI,success,none,0,2,12,no,no,none,0.0
P00569,C1053,1383.95,UPI,failed,bank_decline,5,5,108,no,no,escalate,0.0
P00570,C1060,4359.39,Card,failed,technical_timeout,3,2,80,no,no,stop,0.0
P00571,C1236,891.32,UPI,failed,bank_decline,4,7,166,yes,yes,retry,891.32
P00572,C1108,5714.18,Card,success,none,0,4,67,no,no,none,0.0
P00573,C1005,1436.38,Card,failed,network_error,4,5,52,no,no,escalate,0.0
P00574,C1103,506.19,Netbanking,success,none,0,7,133,no,no,none,0.0
P00575,C1196,1629.58,Card,failed,network_error,3,5,139,yes,yes,retry,1629.58
P00576,C1006,888.21,UPI,success,none,0,7,25,no,no,none,0.0
P00577,C1109,2780.77,Card,success,none,0,1,35,no,no,none,0.0
P00578,C1224,907.35,UPI,success,none,0,3,163,no,no,none,0.0
P00579,C1116,1059.3,UPI,success,none,0,4,22,no,no,none,0.0
P00580,C1094,358.83,Card,failed,insufficient_funds,1,9,165,yes,yes,payment_link,358.83
P00581,C1047,1054.45,UPI,failed,bank_decline,1,4,96,no,no,stop,0.0
P00582,C1099,240.35,Card,success,none,0,5,117,no,no,none,0.0
P00583,C1055,451.27,Netbanking,failed,insufficient_funds,2,6,20,no,no,stop,0.0
P00584,C1168,2618.38,Netbanking,success,none,0,6,106,no,no,none,0.0
P00585,C1052,2668.71,Netbanking,failed,bank_decline,5,3,4,no,no,escalate,0.0
P00586,C1144,2036.71,UPI,failed,technical_timeout,5,3,18,yes,yes,reminder,2036.71
P00587,C1013,716.78,UPI,failed,authentication_failed,5,5,51,no,no,escalate,0.0
P00588,C1114,1428.27,Card,success,none,0,7,20,no,no,none,0.0
P00589,C1124,1476.31,UPI,failed,technical_timeout,2,6,122,no,yes,retry,1476.31
P00590,C1106,620.94,Card,success,none,0,6,137,no,no,none,0.0
P00591,C1158,4571.28,Card,failed,authentication_failed,5,4,80,no,yes,reminder,4571.28
P00592,C1147,2858.41,Card,success,none,0,7,154,no,no,none,0.0
P00593,C1145,1254.23,UPI,failed,insufficient_funds,3,4,102,no,no,stop,0.0
P00594,C1120,1510.45,UPI,success,none,0,8,25,no,no,none,0.0
P00595,C1063,1730.71,UPI,success,none,0,5,169,no,no,none,0.0
P00596,C1019,320.12,UPI,failed,bank_decline,2,5,59,no,yes,payment_link,320.12
P00597,C1092,1229.81,Netbanking,success,none,0,4,45,no,no,none,0.0
P00598,C1058,887.59,UPI,success,none,0,5,41,no,no,none,0.0
P00599,C1183,698.4,UPI,success,none,0,2,38,no,no,none,0.0
P00600,C1090,1198.92,UPI,success,none,0,3,117,no,no,none,0.0
P00601,C1229,5700.25,Card,failed,authentication_failed,3,7,19,yes,yes,payment_link,5700.25
P00602,C1218,2393.79,Card,success,none,0,5,14,no,no,none,0.0
P00603,C1117,964.51,UPI,failed,insufficient_funds,2,6,127,yes,no,stop,0.0
P00604,C1062,2274.32,UPI,failed,technical_timeout,5,7,149,no,yes,payment_link,2274.32
P00605,C1023,4228.14,UPI,success,none,0,2,143,no,no,none,0.0
P00606,C1127,2961.57,UPI,failed,bank_decline,3,7,3,no,yes,payment_link,2961.57
P00607,C1137,1548.01,Card,success,none,0,5,37,no,no,none,0.0
P00608,C1140,911.23,Card,success,none,0,5,117,no,no,none,0.0
P00609,C1245,2499.05,UPI,success,none,0,7,174,no,no,none,0.0
P00610,C1129,1988.46,UPI,success,none,0,6,16,no,no,none,0.0
P00611,C1058,2896.9,Wallet,failed,bank_decline,3,5,142,yes,no,stop,0.0
P00612,C1122,2383.63,UPI,failed,network_error,3,0,9,yes,no,stop,0.0
P00613,C1001,3252.45,Card,success,none,0,7,7,no,no,none,0.0
P00614,C1239,990.86,UPI,failed,bank_decline,2,5,142,no,yes,retry,990.86
P00615,C1034,3976.06,UPI,failed,network_error,4,5,134,no,yes,retry,3976.06
P00616,C1096,1716.77,UPI,failed,network_error,5,6,15,yes,yes,payment_link,1716.77
P00617,C1126,7019.49,UPI,success,none,0,8,180,no,no,none,0.0
P00618,C1118,882.81,Wallet,success,none,0,4,72,no,no,none,0.0
P00619,C1048,5442.39,UPI,failed,authentication_failed,3,6,162,yes,no,stop,0.0
P00620,C1089,1717.17,UPI,success,none,0,4,104,no,no,none,0.0
P00621,C1232,908.17,UPI,failed,technical_timeout,4,1,129,no,yes,payment_link,908.17
P00622,C1237,1029.76,UPI,failed,technical_timeout,5,3,96,no,no,escalate,0.0
P00623,C1117,1164.14,UPI,success,none,0,4,122,no,no,none,0.0
P00624,C1129,2034.74,UPI,success,none,0,5,115,no,no,none,0.0
P00625,C1016,2191.03,Card,success,none,0,4,148,no,no,none,0.0
P00626,C1189,962.68,UPI,failed,network_error,5,5,80,no,no,escalate,0.0
P00627,C1231,1453.51,UPI,success,none,0,2,7,no,no,none,0.0
P00628,C1192,7381.28,Netbanking,success,none,0,2,135,no,no,none,0.0
P00629,C1191,5408.12,UPI,success,none,0,5,50,no,no,none,0.0
P00630,C1069,2053.38,Wallet,success,none,0,5,130,no,no,none,0.0
P00631,C1022,1523.1,UPI,success,none,0,5,47,no,no,none,0.0
P00632,C1093,1619.74,Netbanking,success,none,0,6,14,no,no,none,0.0
P00633,C1247,2345.23,Card,success,none,0,4,31,no,no,none,0.0
P00634,C1195,687.39,Netbanking,success,none,0,9,50,no,no,none,0.0
P00635,C1076,1220.44,Wallet,success,none,0,7,41,no,no,none,0.0
P00636,C1154,423.5,UPI,success,none,0,2,14,no,no,none,0.0
P00637,C1144,1997.03,Wallet,success,none,0,3,133,no,no,none,0.0
P00638,C1179,2405.22,UPI,success,none,0,4,5,no,no,none,0.0
P00639,C1229,1030.3,UPI,failed,insufficient_funds,3,6,157,no,yes,retry,1030.3
P00640,C1086,4819.81,UPI,success,none,0,7,5,no,no,none,0.0
P00641,C1185,590.33,Card,success,none,0,4,113,no,no,none,0.0
P00642,C1029,493.6,UPI,success,none,0,5,118,no,no,none,0.0
P00643,C1206,1751.69,Card,failed,insufficient_funds,3,5,96,no,yes,reminder,1751.69
P00644,C1220,3246.47,Card,success,none,0,3,36,no,no,none,0.0
P00645,C1069,5234.08,Card,failed,technical_timeout,2,3,79,no,no,stop,0.0
P00646,C1047,1049.26,Netbanking,success,none,0,7,19,no,no,none,0.0
P00647,C1241,3324.29,UPI,success,none,0,3,22,no,no,none,0.0
P00648,C1094,1438.16,UPI,success,none,0,8,162,no,no,none,0.0
P00649,C1238,1300.53,UPI,success,none,0,8,56,no,no,none,0.0
P00650,C1190,2871.95,UPI,success,none,0,5,17,no,no,none,0.0
P00651,C1244,2414.49,UPI,success,none,0,5,17,no,no,none,0.0
P00652,C1197,453.82,UPI,failed,insufficient_funds,4,3,146,no,no,escalate,0.0
P00653,C1204,4480.12,UPI,success,none,0,3,173,no,no,none,0.0
P00654,C1144,4167.49,Wallet,success,none,0,6,78,no,no,none,0.0
P00655,C1218,925.96,Card,success,none,0,5,56,no,no,none,0.0
P00656,C1218,1991.92,UPI,failed,insufficient_funds,4,4,80,yes,no,escalate,0.0
P00657,C1176,2144.2,Card,success,none,0,6,50,no,no,none,0.0
P00658,C1085,1799.93,UPI,failed,insufficient_funds,3,3,58,no,no,stop,0.0
P00659,C1039,979.72,UPI,success,none,0,12,18,no,no,none,0.0
P00660,C1100,894.52,Card,success,none,0,1,135,no,no,none,0.0
P00661,C1033,1452.2,UPI,success,none,0,6,76,no,no,none,0.0
P00662,C1222,3567.24,UPI,success,none,0,1,10,no,no,none,0.0
P00663,C1101,2225.42,Wallet,failed,technical_timeout,5,6,69,no,no,escalate,0.0
P00664,C1023,1121.07,Netbanking,failed,network_error,3,1,85,no,no,stop,0.0
P00665,C1250,2640.63,Card,success,none,0,4,131,no,no,none,0.0
P00666,C1010,174.79,Card,success,none,0,3,83,no,no,none,0.0
P00667,C1246,3503.7,Card,failed,bank_decline,5,3,109,yes,no,escalate,0.0
P00668,C1069,401.5,UPI,success,none,0,5,44,no,no,none,0.0
P00669,C1100,1127.96,UPI,success,none,0,5,142,no,no,none,0.0
P00670,C1034,639.22,UPI,success,none,0,5,132,no,no,none,0.0
P00671,C1180,560.59,UPI,success,none,0,9,18,no,no,none,0.0
P00672,C1223,3535.54,Card,failed,network_error,5,3,93,no,no,escalate,0.0
P00673,C1138,1042.34,UPI,failed,technical_timeout,3,3,180,no,no,stop,0.0
P00674,C1250,1919.61,Wallet,success,none,0,6,38,no,no,none,0.0
P00675,C1147,1429.11,Netbanking,success,none,0,6,148,no,no,none,0.0
P00676,C1186,2117.05,Card,success,none,0,3,172,no,no,none,0.0
P00677,C1096,1568.09,Card,success,none,0,7,51,no,no,none,0.0
P00678,C1001,565.53,Netbanking,success,none,0,4,19,no,no,none,0.0
P00679,C1248,3125.03,UPI,success,none,0,1,120,no,no,none,0.0
P00680,C1069,1022.17,Card,success,none,0,7,68,no,no,none,0.0
P00681,C1237,460.62,UPI,success,none,0,7,66,no,no,none,0.0
P00682,C1004,1073.75,Card,success,none,0,2,141,no,no,none,0.0
P00683,C1016,4562.24,UPI,failed,authentication_failed,1,5,158,yes,yes,payment_link,4562.24
P00684,C1024,2800.82,Netbanking,success,none,0,6,98,no,no,none,0.0
P00685,C1080,1139.69,Netbanking,failed,technical_timeout,4,9,158,no,yes,retry,1139.69
P00686,C1247,1139.17,UPI,success,none,0,3,179,no,no,none,0.0
P00687,C1002,1163.02,UPI,success,none,0,4,88,no,no,none,0.0
P00688,C1241,7027.32,Wallet,success,none,0,10,176,no,no,none,0.0
P00689,C1220,1971.31,UPI,failed,authentication_failed,5,4,33,no,yes,retry,1971.31
P00690,C1128,2043.73,Netbanking,failed,bank_decline,5,4,105,no,no,escalate,0.0
P00691,C1160,3205.79,Card,failed,authentication_failed,1,4,74,no,yes,retry,3205.79
P00692,C1219,1770.63,UPI,success,none,0,7,82,no,no,none,0.0
P00693,C1084,1218.92,UPI,failed,bank_decline,2,8,19,no,yes,reminder,1218.92
P00694,C1152,1277.6,UPI,success,none,0,6,71,no,no,none,0.0
P00695,C1140,1402.9,Card,success,none,0,6,57,no,no,none,0.0
P00696,C1178,1439.55,UPI,success,none,0,3,147,no,no,none,0.0
P00697,C1163,2554.78,UPI,success,none,0,5,79,no,no,none,0.0
